"""VVZ""","""DAAP""",26.7234992981,8.62265014648,"""Illizi Takhamalt Airport"""
\N,"""DAAQ""",35.52539825439453,2.8787100315093994,"""Ain Oussera Airport"""
"""TMR""","""DAAT""",22.8115005493,5.45107984543,"""Aguenar – Hadj Bey Akhamok Airport"""
"""GJL""","""DAAV""",36.7951011658,5.87361001968,"""Jijel Ferhat Abbas Airport"""
"""MZW""","""DAAY""",33.535900116,-0.242353007197,"""Mecheria Airport"""
\N,"""DAAZ""",35.752201,0.626272,"""Relizane Airport"""
"""AAE""","""DABB""",36.822201,7.809174,"""Rabah Bitat Airport"""
"""CZL""","""DABC""",36.2760009765625,6.620389938354492,"""Mohamed Boudiaf International Airport"""
"""TEE""","""DABS""",35.4315986633,8.12071990967,"""Cheikh Larbi Tébessi Airport"""
"""HRM""","""DAFH""",32.93040084838867,3.311539888381958,"""Hassi R'Mel Airport"""
"""TID""","""DAOB""",35.3410987854,1.46315002441,"""Bou Chekif Airport"""
\N,"""DAOE""",35.73540115356445,-0.8053889870643616,"""Bou Sfer Airport"""
"""TIN""","""DAOF""",27.7003993988,-8.167099952700001,"""Tindouf Airport"""
"""CFK""","""DAOI""",36.2126998901,1.33176994324,"""Ech Cheliff Airport"""
"""TAF""","""DAOL""",35.54240036010742,-0.5322780013084412,"""Tafaraoui Airport"""
"""TLM""","""DAON""",35.0167007446,-1.45000004768,"""Zenata – Messali El Hadj Airport"""
"""ORN""","""DAOO""",35.6239013672,-0.6211829781529999,"""Es Senia Airport"""
"""BFW""","""DAOS""",35.1717987061,-0.593275010586,"""Sidi Bel Abbes Airport"""
"""MUW""","""DAOV""",35.207698822021484,0.14714199304580688,"""Ghriss Airport"""
"""AZR""","""DAUA""",27.837600708007812,-0.18641400337219238,"""Touat Cheikh Sidi Mohamed Belkebir Airport"""
"""BSK""","""DAUB""",34.793300628699996,5.73823022842,"""Biskra Airport"""
"""ELG""","""DAUE""",30.571300506591797,2.8595900535583496,"""El Golea Airport"""
"""GHA""","""DAUG""",32.38410186767578,3.794110059738159,"""Noumérat - Moufdi Zakaria Airport"""
"""HME""","""DAUH""",31.673000335699996,6.140439987180001,"""Oued Irara Airport"""
"""INZ""","""DAUI""",27.250999450699997,2.51202011108,"""In Salah Airport"""
"""TGR""","""DAUK""",33.06779861450195,6.088669776916504,"""Touggourt Sidi Madhi Airport"""
"""LOO""","""DAUL""",33.764400482199996,2.92833995819,"""Laghouat Airport"""
"""TMX""","""DAUT""",29.2371006012,0.276033014059,"""Timimoun Airport"""
"""OGX""","""DAUU""",31.917200088500977,5.412779808044434,"""Ain el Beida Airport"""
"""IAM""","""DAUZ""",28.0515,9.64291,"""In Aménas Airport"""
"""COO""","""DBBB""",6.357230186462402,2.384350061416626,"""Cadjehoun Airport"""
"""OUA""","""DFFD""",12.3532,-1.51242,"""Ouagadougou Airport"""
"""BOY""","""DFOO""",11.160099983215332,-4.33096981048584,"""Bobo Dioulasso Airport"""
"""ACC""","""DGAA""",5.605189800262451,-0.16678600013256073,"""Kotoka International Airport"""
"""TML""","""DGLE""",9.55718994140625,-0.8632140159606934,"""Tamale Airport"""
\N,"""DGLW""",10.0826997756958,-2.507689952850342,"""Wa Airport"""
"""NYI""","""DGSN""",7.361830234527588,-2.3287599086761475,"""Sunyani Airport"""
"""TKD""","""DGTK""",4.896059989929199,-1.7747600078582764,"""Takoradi Airport"""
"""ABJ""","""DIAP""",5.261390209197998,-3.9262900352478027,"""Port Bouet Airport"""
"""BYK""","""DIBK""",7.738800048828125,-5.073669910430908,"""Bouaké Airport"""
"""DJO""","""DIDL""",6.792809963226318,-6.473189830780029,"""Daloa Airport"""
"""HGO""","""DIKO""",9.38718032837,-5.55666017532,"""Korhogo Airport"""
"""MJC""","""DIMN""",7.272069931030273,-7.58735990524292,"""Man Airport"""
"""SPY""","""DISP""",4.746719837188721,-6.660820007324219,"""San Pedro Airport"""
"""ASK""","""DIYO""",6.9031701088,-5.36558008194,"""Yamoussoukro Airport"""
"""ABV""","""DNAA""",9.006790161132812,7.263169765472412,"""Nnamdi Azikiwe International Airport"""
"""AKR""","""DNAK""",7.246739864349365,5.3010101318359375,"""Akure Airport"""
"""BNI""","""DNBE""",6.316979885101318,5.5995001792907715,"""Benin Airport"""
"""CBQ""","""DNCA""",4.976019859313965,8.347200393676758,"""Margaret Ekpo International Airport"""
"""ENU""","""DNEN""",6.474269866943359,7.561960220336914,"""Akanu Ibiam International Airport"""
\N,"""DNGU""",12.1717,6.69611,"""Gusau Airport"""
"""IBA""","""DNIB""",7.362460136413574,3.97832989692688,"""Ibadan Airport"""
"""ILR""","""DNIL""",8.440210342407227,4.493919849395752,"""Ilorin International Airport"""
"""JOS""","""DNJO""",9.639829635620117,8.869050025939941,"""Yakubu Gowon Airport"""
"""KAD""","""DNKA""",10.696000099182129,7.320109844207764,"""Kaduna Airport"""
"""KAN""","""DNKN""",12.0476,8.52462,"""Mallam Aminu International Airport"""
"""MIU""","""DNMA""",11.855299949645996,13.080900192260742,"""Maiduguri International Airport"""
"""MDI""","""DNMK""",7.70388,8.61394,"""Makurdi Airport"""
"""LOS""","""DNMM""",6.5773701667785645,3.321160078048706,"""Murtala Muhammed International Airport"""
"""MXJ""","""DNMN""",9.652170181274414,6.462259769439697,"""Minna Airport"""
"""PHC""","""DNPO""",5.0154900550842285,6.94959020614624,"""Port Harcourt International Airport"""
"""SKO""","""DNSO""",12.916299819946289,5.207190036773682,"""Sadiq Abubakar III International Airport"""
"""YOL""","""DNYO""",9.257550239562988,12.430399894714355,"""Yola Airport"""
"""ZAR""","""DNZA""",11.1302,7.68581,"""Zaria Airport"""
"""MFQ""","""DRRM""",13.5024995803833,7.1267499923706055,"""Maradi Airport"""
"""NIM""","""DRRN""",13.4815,2.18361,"""Diori Hamani International Airport"""
"""THZ""","""DRRT""",14.875699996948242,5.265359878540039,"""Tahoua Airport"""
"""AJY""","""DRZA""",16.965999603271484,8.000109672546387,"""Mano Dayak International Airport"""
\N,"""DRZD""",18.968700408935547,12.86870002746582,"""Dirkou Airport"""
\N,"""DRZF""",13.372900009155273,12.626700401306152,"""Diffa Airport"""
"""ZND""","""DRZR""",13.779000282287598,8.983759880065918,"""Zinder Airport"""
"""MIR""","""DTMB""",35.75809860229492,10.75469970703125,"""Monastir Habib Bourguiba International Airport"""
"""TUN""","""DTTA""",36.85100173950195,10.22719955444336,"""Tunis Carthage International Airport"""
\N,"""DTTB""",37.245398,9.79145,"""Sidi Ahmed Air Base"""
\N,"""DTTD""",32.30619812011719,10.382100105285645,"""Remada Air Base"""
"""GAF""","""DTTF""",34.422000885009766,8.822500228881836,"""Gafsa Ksar International Airport"""
"""GAE""","""DTTG""",33.87689971923828,10.103300094604492,"""Gabès Matmata International Airport"""
\N,"""DTTI""",36.72129821777344,9.94314956665039,"""Borj El Amri Airport"""
"""DJE""","""DTTJ""",33.875,10.775500297546387,"""Djerba Zarzis International Airport"""
"""EBM""","""DTTR""",31.704299926757812,9.254619598388672,"""El Borma Airport"""
"""SFA""","""DTTX""",34.71799850463867,10.690999984741211,"""Sfax Thyna International Airport"""
"""TOE""","""DTTZ""",33.939701080322266,8.110560417175293,"""Tozeur Nefta International Airport"""
"""LRL""","""DXNG""",9.767330169677734,1.091249942779541,"""Niamtougou International Airport"""
"""LFW""","""DXXX""",6.165609836578369,1.2545100450515747,"""Lomé-Tokoin Airport"""
